fips,adate,sutter_county,case_count,case_count_sex_f,case_count_low_ice,case_count_medicaid
6005,01131999,kpsc,17,15,7.5,7.5
6006,01131999,kpsc,19,17,8.5,8.5
6008,01131999,kpsc,20,18,9,9
6009,01131999,kpsc,18,16,8,8
6041,01131999,sutter,18,16,8,8
6001,01141999,kpsc,21,19,9.5,9.5
6003,01141999,kpsc,23,21,10.5,10.5
6005,01141999,kpsc,17,15,7.5,7.5
6006,01141999,kpsc,19,17,8.5,8.5
6008,01141999,kpsc,15,13,6.5,6.5
6009,01141999,kpsc,21,19,9.5,9.5
6041,01141999,sutter,21,19,9.5,9.5
6001,01151999,kpsc,22,20,10,10
6003,01151999,kpsc,20,18,9,9
6005,01151999,kpsc,19,17,8.5,8.5
6006,01151999,kpsc,16,14,7,7
6008,01151999,kpsc,21,19,9.5,9.5
6009,01151999,kpsc,22,20,10,10
6041,01151999,sutter,21,19,9.5,9.5
6001,01161999,kpsc,19,17,8.5,8.5
6003,01161999,kpsc,18,16,8,8
6005,01161999,kpsc,20,18,9,9
6006,01161999,kpsc,20,18,9,9
6008,01161999,kpsc,21,19,9.5,9.5
6009,01161999,kpsc,22,20,10,10
6041,01161999,sutter,22,20,10,10
6001,01171999,kpsc,20,18,9,9
6003,01171999,kpsc,18,16,8,8
6005,01171999,kpsc,18,16,8,8
6006,01171999,kpsc,17,15,7.5,7.5
6008,01171999,kpsc,22,20,10,10
6009,01171999,kpsc,17,15,7.5,7.5
6041,01171999,sutter,18,16,8,8
6001,01181999,kpsc,20,18,9,9
6003,01181999,kpsc,22,20,10,10
6006,01181999,kpsc,21,19,9.5,9.5
6008,01181999,kpsc,19,17,8.5,8.5
6009,01181999,kpsc,18,16,8,8
6041,01181999,sutter,16,14,7,7
6001,01191999,kpsc,20,18,9,9
6003,01191999,kpsc,22,20,10,10
6005,01191999,kpsc,20,18,9,9
6006,01191999,kpsc,23,21,10.5,10.5
6008,01191999,kpsc,21,19,9.5,9.5
6009,01191999,kpsc,20,18,9,9
6041,01191999,sutter,18,16,8,8
6001,01201999,kpsc,20,18,9,9
6003,01201999,kpsc,18,16,8,8
6005,01201999,kpsc,22,20,10,10
6006,01201999,kpsc,18,16,8,8
6008,01201999,kpsc,19,17,8.5,8.5
6009,01201999,kpsc,22,20,10,10
6041,01201999,sutter,18,16,8,8
6001,01211999,kpsc,22,20,10,10
6003,01211999,kpsc,19,17,8.5,8.5
6005,01211999,kpsc,19,17,8.5,8.5
6006,01211999,kpsc,19,17,8.5,8.5
6008,01211999,kpsc,22,20,10,10
6009,01211999,kpsc,17,15,7.5,7.5
6041,01211999,sutter,17,15,7.5,7.5
6001,01221999,kpsc,21,19,9.5,9.5
6003,01221999,kpsc,22,20,10,10
6005,01221999,kpsc,24,22,11,11
6006,01221999,kpsc,21,19,9.5,9.5
6008,01221999,kpsc,22,20,10,10
6009,01221999,kpsc,22,20,10,10
6041,01221999,sutter,18,16,8,8
6001,01231999,kpsc,20,18,9,9
6003,01231999,kpsc,20,18,9,9
6005,01231999,kpsc,20,18,9,9
6006,01231999,kpsc,23,21,10.5,10.5
6008,01231999,kpsc,22,20,10,10
6009,01231999,kpsc,23,21,10.5,10.5
6041,01231999,sutter,22,20,10,10
6001,01241999,kpsc,22,20,10,10
6003,01241999,kpsc,17,15,7.5,7.5
6005,01241999,kpsc,21,19,9.5,9.5
6006,01241999,kpsc,16,14,7,7
6008,01241999,kpsc,20,18,9,9
6009,01241999,kpsc,21,19,9.5,9.5
6041,01241999,sutter,18,16,8,8
6001,01251999,kpsc,23,21,10.5,10.5
6003,01251999,kpsc,20,18,9,9
6005,01251999,kpsc,19,17,8.5,8.5
6006,01251999,kpsc,21,19,9.5,9.5
6008,01251999,kpsc,21,19,9.5,9.5
6009,01251999,kpsc,22,20,10,10
6041,01251999,sutter,22,20,10,10
6001,01261999,kpsc,23,21,10.5,10.5
6003,01261999,kpsc,19,17,8.5,8.5
6005,01261999,kpsc,18,16,8,8
6006,01261999,kpsc,23,21,10.5,10.5
6008,01261999,kpsc,19,17,8.5,8.5
6009,01261999,kpsc,21,19,9.5,9.5
6041,01261999,sutter,21,19,9.5,9.5
6001,01271999,kpsc,17,15,7.5,7.5
6003,01271999,kpsc,21,19,9.5,9.5
6005,01271999,kpsc,18,16,8,8
6006,01271999,kpsc,18,16,8,8
6008,01271999,kpsc,25,23,11.5,11.5
6009,01271999,kpsc,17,15,7.5,7.5
6041,01271999,sutter,18,16,8,8
6001,01281999,kpsc,17,15,7.5,7.5
6003,01281999,kpsc,22,20,10,10
6005,01281999,kpsc,18,16,8,8
6006,01281999,kpsc,20,18,9,9
6008,01281999,kpsc,21,19,9.5,9.5
6009,01281999,kpsc,22,20,10,10
6041,01281999,sutter,23,21,10.5,10.5
6001,01291999,kpsc,17,15,7.5,7.5
6003,01291999,kpsc,20,18,9,9
6005,01291999,kpsc,23,21,10.5,10.5
6006,01291999,kpsc,22,20,10,10
6008,01291999,kpsc,21,19,9.5,9.5
6009,01291999,kpsc,21,19,9.5,9.5
6041,01291999,sutter,24,22,11,11
6001,01301999,kpsc,22,20,10,10
6003,01301999,kpsc,19,17,8.5,8.5
6005,01301999,kpsc,20,18,9,9
6006,01301999,kpsc,18,16,8,8
6008,01301999,kpsc,19,17,8.5,8.5
6009,01301999,kpsc,19,17,8.5,8.5
6041,01301999,sutter,17,15,7.5,7.5
6001,01311999,kpsc,21,19,9.5,9.5
6003,01311999,kpsc,22,20,10,10
6005,01311999,kpsc,23,21,10.5,10.5
6006,01311999,kpsc,22,20,10,10
6008,01311999,kpsc,21,19,9.5,9.5
6009,01311999,kpsc,24,22,11,11
6041,01311999,sutter,18,16,8,8
6001,02011999,kpsc,21,19,9.5,9.5
6003,02011999,kpsc,19,17,8.5,8.5
6005,02011999,kpsc,16,14,7,7
6006,02011999,kpsc,16,14,7,7
6008,02011999,kpsc,19,17,8.5,8.5
6009,02011999,kpsc,21,19,9.5,9.5
6041,02011999,sutter,21,19,9.5,9.5
6001,02021999,kpsc,20,18,9,9
6003,02021999,kpsc,20,18,9,9
6005,02021999,kpsc,20,18,9,9
6006,02021999,kpsc,18,16,8,8
6008,02021999,kpsc,18,16,8,8
6009,02021999,kpsc,21,19,9.5,9.5
6041,02021999,sutter,23,21,10.5,10.5
6001,02031999,kpsc,20,18,9,9
6003,02031999,kpsc,24,22,11,11
6005,02031999,kpsc,18,16,8,8
6006,02031999,kpsc,21,19,9.5,9.5
6008,02031999,kpsc,20,18,9,9
6009,02031999,kpsc,19,17,8.5,8.5
6041,02031999,sutter,22,20,10,10
6001,02041999,kpsc,17,15,7.5,7.5
6003,02041999,kpsc,20,18,9,9
6005,02041999,kpsc,20,18,9,9
6006,02041999,kpsc,22,20,10,10
6008,02041999,kpsc,18,16,8,8
6009,02041999,kpsc,14,12,6,6
6041,02041999,sutter,22,20,10,10
6001,02051999,kpsc,22,20,10,10
6003,02051999,kpsc,22,20,10,10
6005,02051999,kpsc,19,17,8.5,8.5
6006,02051999,kpsc,15,13,6.5,6.5
6008,02051999,kpsc,20,18,9,9
6009,02051999,kpsc,23,21,10.5,10.5
6041,02051999,sutter,19,17,8.5,8.5
6001,02061999,kpsc,18,16,8,8
6003,02061999,kpsc,20,18,9,9
6005,02061999,kpsc,20,18,9,9
6006,02061999,kpsc,19,17,8.5,8.5
6008,02061999,kpsc,21,19,9.5,9.5
6009,02061999,kpsc,22,20,10,10
6041,02061999,sutter,18,16,8,8
6001,02071999,kpsc,20,18,9,9
6003,02071999,kpsc,20,18,9,9
6005,02071999,kpsc,18,16,8,8
6006,02071999,kpsc,23,21,10.5,10.5
6008,02071999,kpsc,21,19,9.5,9.5
6009,02071999,kpsc,22,20,10,10
6041,02071999,sutter,19,17,8.5,8.5
6001,02081999,kpsc,19,17,8.5,8.5
6003,02081999,kpsc,19,17,8.5,8.5
6005,02081999,kpsc,21,19,9.5,9.5
6006,02081999,kpsc,20,18,9,9
6008,02081999,kpsc,23,21,10.5,10.5
6009,02081999,kpsc,19,17,8.5,8.5
6041,02081999,sutter,19,17,8.5,8.5
6001,02091999,kpsc,18,16,8,8
6003,02091999,kpsc,19,17,8.5,8.5
6005,02091999,kpsc,19,17,8.5,8.5
6006,02091999,kpsc,24,22,11,11
6008,02091999,kpsc,18,16,8,8
6009,02091999,kpsc,22,20,10,10
6041,02091999,sutter,22,20,10,10
6001,02101999,kpsc,18,16,8,8
6003,02101999,kpsc,18,16,8,8
6005,02101999,kpsc,19,17,8.5,8.5
6006,02101999,kpsc,21,19,9.5,9.5
6008,02101999,kpsc,19,17,8.5,8.5
6009,02101999,kpsc,18,16,8,8
6041,02101999,sutter,22,20,10,10
6001,02111999,kpsc,20,18,9,9
6003,02111999,kpsc,18,16,8,8
6005,02111999,kpsc,22,20,10,10
6006,02111999,kpsc,20,18,9,9
6008,02111999,kpsc,20,18,9,9
6009,02111999,kpsc,19,17,8.5,8.5
6041,02111999,sutter,22,20,10,10
6001,02121999,kpsc,18,16,8,8
6003,02121999,kpsc,19,17,8.5,8.5
6005,02121999,kpsc,22,20,10,10
6006,02121999,kpsc,23,21,10.5,10.5
6008,02121999,kpsc,19,17,8.5,8.5
6009,02121999,kpsc,21,19,9.5,9.5
6041,02121999,sutter,17,15,7.5,7.5
6001,02131999,kpsc,19,17,8.5,8.5
6003,02131999,kpsc,22,20,10,10
6005,02131999,kpsc,17,15,7.5,7.5
6006,02131999,kpsc,20,18,9,9
6008,02131999,kpsc,20,18,9,9
6009,02131999,kpsc,21,19,9.5,9.5
6041,02131999,sutter,18,16,8,8
6001,02141999,kpsc,19,17,8.5,8.5
6003,02141999,kpsc,22,20,10,10
6005,02141999,kpsc,19,17,8.5,8.5
6006,02141999,kpsc,20,18,9,9
6008,02141999,kpsc,22,20,10,10
6009,02141999,kpsc,19,17,8.5,8.5
6041,02141999,sutter,20,18,9,9
6001,02151999,kpsc,20,18,9,9
6003,02151999,kpsc,17,15,7.5,7.5
6005,02151999,kpsc,19,17,8.5,8.5
6006,02151999,kpsc,23,21,10.5,10.5
6008,02151999,kpsc,23,21,10.5,10.5
6009,02151999,kpsc,20,18,9,9
6041,02151999,sutter,17,15,7.5,7.5
6001,02161999,kpsc,22,20,10,10
6003,02161999,kpsc,18,16,8,8
6005,02161999,kpsc,19,17,8.5,8.5
6006,02161999,kpsc,18,16,8,8
6008,02161999,kpsc,20,18,9,9
6009,02161999,kpsc,20,18,9,9
6041,02161999,sutter,18,16,8,8
6001,02171999,kpsc,21,19,9.5,9.5
6003,02171999,kpsc,18,16,8,8
6005,02171999,kpsc,21,19,9.5,9.5
6006,02171999,kpsc,18,16,8,8
6008,02171999,kpsc,21,19,9.5,9.5
6009,02171999,kpsc,20,18,9,9
6041,02171999,sutter,17,15,7.5,7.5
6001,02181999,kpsc,19,17,8.5,8.5
6003,02181999,kpsc,18,16,8,8
6005,02181999,kpsc,18,16,8,8
6006,02181999,kpsc,21,19,9.5,9.5
6008,02181999,kpsc,18,16,8,8
6009,02181999,kpsc,21,19,9.5,9.5
6041,02181999,sutter,19,17,8.5,8.5
6001,02191999,kpsc,22,20,10,10
6003,02191999,kpsc,22,20,10,10
6005,02191999,kpsc,23,21,10.5,10.5
6006,02191999,kpsc,27,25,12.5,12.5
6008,02191999,kpsc,20,18,9,9
6009,02191999,kpsc,21,19,9.5,9.5
6041,02191999,sutter,22,20,10,10
6001,02201999,kpsc,23,21,10.5,10.5
6003,02201999,kpsc,22,20,10,10
6005,02201999,kpsc,17,15,7.5,7.5
6006,02201999,kpsc,20,18,9,9
6008,02201999,kpsc,22,20,10,10
6009,02201999,kpsc,23,21,10.5,10.5
6041,02201999,sutter,19,17,8.5,8.5
6001,02211999,kpsc,20,18,9,9
6003,02211999,kpsc,16,14,7,7
6005,02211999,kpsc,18,16,8,8
6006,02211999,kpsc,24,22,11,11
6008,02211999,kpsc,18,16,8,8
6009,02211999,kpsc,22,20,10,10
6041,02211999,sutter,19,17,8.5,8.5
6001,02221999,kpsc,20,18,9,9
6003,02221999,kpsc,20,18,9,9
6005,02221999,kpsc,19,17,8.5,8.5
6006,02221999,kpsc,17,15,7.5,7.5
6008,02221999,kpsc,22,20,10,10
6009,02221999,kpsc,18,16,8,8
6041,02221999,sutter,20,18,9,9
6001,02231999,kpsc,20,18,9,9
6003,02231999,kpsc,22,20,10,10
6005,02231999,kpsc,19,17,8.5,8.5
6006,02231999,kpsc,21,19,9.5,9.5
6008,02231999,kpsc,20,18,9,9
6009,02231999,kpsc,19,17,8.5,8.5
6041,02231999,sutter,21,19,9.5,9.5
6001,02241999,kpsc,17,15,7.5,7.5
6003,02241999,kpsc,20,18,9,9
6005,02241999,kpsc,19,17,8.5,8.5
6006,02241999,kpsc,21,19,9.5,9.5
6008,02241999,kpsc,18,16,8,8
6009,02241999,kpsc,21,19,9.5,9.5
6041,02241999,sutter,18,16,8,8
6001,02251999,kpsc,20,18,9,9
6003,02251999,kpsc,21,19,9.5,9.5
6005,02251999,kpsc,20,18,9,9
6006,02251999,kpsc,18,16,8,8
6008,02251999,kpsc,15,13,6.5,6.5
6009,02251999,kpsc,22,20,10,10
6041,02251999,sutter,21,19,9.5,9.5
6001,02261999,kpsc,21,19,9.5,9.5
6003,02261999,kpsc,21,19,9.5,9.5
6005,02261999,kpsc,24,22,11,11
6006,02261999,kpsc,20,18,9,9
6008,02261999,kpsc,20,18,9,9
6009,02261999,kpsc,20,18,9,9
6041,02261999,sutter,19,17,8.5,8.5
6001,02271999,kpsc,20,18,9,9
6003,02271999,kpsc,19,17,8.5,8.5
6005,02271999,kpsc,19,17,8.5,8.5
6006,02271999,kpsc,21,19,9.5,9.5
6008,02271999,kpsc,20,18,9,9
6009,02271999,kpsc,18,16,8,8
6041,02271999,sutter,20,18,9,9
6001,02281999,kpsc,17,15,7.5,7.5
6003,02281999,kpsc,18,16,8,8
6005,02281999,kpsc,21,19,9.5,9.5
6006,02281999,kpsc,22,20,10,10
6008,02281999,kpsc,21,19,9.5,9.5
6009,02281999,kpsc,21,19,9.5,9.5
6041,02281999,sutter,21,19,9.5,9.5
6001,03011999,kpsc,24,22,11,11
6003,03011999,kpsc,19,17,8.5,8.5
6005,03011999,kpsc,21,19,9.5,9.5
6006,03011999,kpsc,24,22,11,11
6008,03011999,kpsc,17,15,7.5,7.5
6009,03011999,kpsc,20,18,9,9
6041,03011999,sutter,20,18,9,9
6001,03021999,kpsc,19,17,8.5,8.5
6003,03021999,kpsc,17,15,7.5,7.5
6005,03021999,kpsc,21,19,9.5,9.5
6006,03021999,kpsc,20,18,9,9
6008,03021999,kpsc,17,15,7.5,7.5
6009,03021999,kpsc,18,16,8,8
6041,03021999,sutter,20,18,9,9
6001,03031999,kpsc,22,20,10,10
6003,03031999,kpsc,19,17,8.5,8.5
6005,03031999,kpsc,21,19,9.5,9.5
6006,03031999,kpsc,18,16,8,8
6008,03031999,kpsc,19,17,8.5,8.5
6009,03031999,kpsc,21,19,9.5,9.5
6041,03031999,sutter,20,18,9,9
6001,03041999,kpsc,17,15,7.5,7.5
6003,03041999,kpsc,20,18,9,9
6005,03041999,kpsc,24,22,11,11
6006,03041999,kpsc,18,16,8,8
6008,03041999,kpsc,23,21,10.5,10.5
6009,03041999,kpsc,21,19,9.5,9.5
6041,03041999,sutter,24,22,11,11
6001,03051999,kpsc,20,18,9,9
6003,03051999,kpsc,23,21,10.5,10.5
6005,03051999,kpsc,23,21,10.5,10.5
6006,03051999,kpsc,20,18,9,9
6008,03051999,kpsc,24,22,11,11
6009,03051999,kpsc,19,17,8.5,8.5
6041,03051999,sutter,17,15,7.5,7.5
6001,03061999,kpsc,22,20,10,10
6003,03061999,kpsc,24,22,11,11
6005,03061999,kpsc,19,17,8.5,8.5
6006,03061999,kpsc,23,21,10.5,10.5
6008,03061999,kpsc,20,18,9,9
6009,03061999,kpsc,22,20,10,10
6041,03061999,sutter,21,19,9.5,9.5
6001,03071999,kpsc,21,19,9.5,9.5
6003,03071999,kpsc,21,19,9.5,9.5
6005,03071999,kpsc,20,18,9,9
6006,03071999,kpsc,21,19,9.5,9.5
6008,03071999,kpsc,17,15,7.5,7.5
6009,03071999,kpsc,22,20,10,10
6041,03071999,sutter,24,22,11,11
6001,03081999,kpsc,18,16,8,8
6003,03081999,kpsc,21,19,9.5,9.5
6005,03081999,kpsc,17,15,7.5,7.5
6006,03081999,kpsc,18,16,8,8
6008,03081999,kpsc,18,16,8,8
6009,03081999,kpsc,19,17,8.5,8.5
6041,03081999,sutter,20,18,9,9
6001,03091999,kpsc,21,19,9.5,9.5
6003,03091999,kpsc,19,17,8.5,8.5
6005,03091999,kpsc,21,19,9.5,9.5
6006,03091999,kpsc,19,17,8.5,8.5
6008,03091999,kpsc,19,17,8.5,8.5
6009,03091999,kpsc,20,18,9,9
6041,03091999,sutter,19,17,8.5,8.5
6001,03101999,kpsc,18,16,8,8
6003,03101999,kpsc,18,16,8,8
6005,03101999,kpsc,18,16,8,8
6006,03101999,kpsc,17,15,7.5,7.5
6008,03101999,kpsc,20,18,9,9
6009,03101999,kpsc,23,21,10.5,10.5
6041,03101999,sutter,18,16,8,8
6001,03111999,kpsc,20,18,9,9
6003,03111999,kpsc,23,21,10.5,10.5
6005,03111999,kpsc,19,17,8.5,8.5
6006,03111999,kpsc,22,20,10,10
6008,03111999,kpsc,21,19,9.5,9.5
6009,03111999,kpsc,16,14,7,7
6041,03111999,sutter,19,17,8.5,8.5
6001,03121999,kpsc,19,17,8.5,8.5
6003,03121999,kpsc,21,19,9.5,9.5
6005,03121999,kpsc,23,21,10.5,10.5
6006,03121999,kpsc,22,20,10,10
6008,03121999,kpsc,21,19,9.5,9.5
6009,03121999,kpsc,16,14,7,7
6041,03121999,sutter,21,19,9.5,9.5
6001,03131999,kpsc,18,16,8,8
6003,03131999,kpsc,18,16,8,8
6005,03131999,kpsc,19,17,8.5,8.5
6006,03131999,kpsc,19,17,8.5,8.5
6008,03131999,kpsc,22,20,10,10
6009,03131999,kpsc,19,17,8.5,8.5
6041,03131999,sutter,24,22,11,11
6001,03141999,kpsc,22,20,10,10
6003,03141999,kpsc,19,17,8.5,8.5
6005,03141999,kpsc,18,16,8,8
6006,03141999,kpsc,21,19,9.5,9.5
6008,03141999,kpsc,20,18,9,9
6009,03141999,kpsc,26,24,12,12
6041,03141999,sutter,18,16,8,8
6001,03151999,kpsc,22,20,10,10
6003,03151999,kpsc,19,17,8.5,8.5
6005,03151999,kpsc,25,23,11.5,11.5
6006,03151999,kpsc,21,19,9.5,9.5
6008,03151999,kpsc,20,18,9,9
6009,03151999,kpsc,20,18,9,9
6041,03151999,sutter,22,20,10,10
6001,03161999,kpsc,20,18,9,9
6003,03161999,kpsc,22,20,10,10
6005,03161999,kpsc,23,21,10.5,10.5
6006,03161999,kpsc,20,18,9,9
6008,03161999,kpsc,21,19,9.5,9.5
6009,03161999,kpsc,19,17,8.5,8.5
6041,03161999,sutter,16,14,7,7
6001,03171999,kpsc,20,18,9,9
6003,03171999,kpsc,19,17,8.5,8.5
6005,03171999,kpsc,22,20,10,10
6006,03171999,kpsc,22,20,10,10
6008,03171999,kpsc,19,17,8.5,8.5
6009,03171999,kpsc,17,15,7.5,7.5
6041,03171999,sutter,21,19,9.5,9.5
6001,03181999,kpsc,18,16,8,8
6003,03181999,kpsc,20,18,9,9
6005,03181999,kpsc,20,18,9,9
6006,03181999,kpsc,18,16,8,8
6008,03181999,kpsc,18,16,8,8
6009,03181999,kpsc,22,20,10,10
6041,03181999,sutter,23,21,10.5,10.5
6001,03191999,kpsc,17,15,7.5,7.5
6003,03191999,kpsc,19,17,8.5,8.5
6005,03191999,kpsc,19,17,8.5,8.5
6006,03191999,kpsc,21,19,9.5,9.5
6008,03191999,kpsc,24,22,11,11
6009,03191999,kpsc,19,17,8.5,8.5
6041,03191999,sutter,20,18,9,9
6001,03201999,kpsc,18,16,8,8
6003,03201999,kpsc,23,21,10.5,10.5
6005,03201999,kpsc,20,18,9,9
6006,03201999,kpsc,21,19,9.5,9.5
6008,03201999,kpsc,19,17,8.5,8.5
6009,03201999,kpsc,24,22,11,11
6041,03201999,sutter,22,20,10,10
6001,03211999,kpsc,20,18,9,9
6003,03211999,kpsc,23,21,10.5,10.5
6005,03211999,kpsc,22,20,10,10
6006,03211999,kpsc,19,17,8.5,8.5
6008,03211999,kpsc,19,17,8.5,8.5
6009,03211999,kpsc,17,15,7.5,7.5
6041,03211999,sutter,20,18,9,9
6001,03221999,kpsc,19,17,8.5,8.5
6003,03221999,kpsc,21,19,9.5,9.5
6005,03221999,kpsc,20,18,9,9
6006,03221999,kpsc,20,18,9,9
6008,03221999,kpsc,21,19,9.5,9.5
6009,03221999,kpsc,20,18,9,9
6041,03221999,sutter,20,18,9,9
6001,03231999,kpsc,16,14,7,7
6003,03231999,kpsc,18,16,8,8
6005,03231999,kpsc,20,18,9,9
6006,03231999,kpsc,22,20,10,10
6008,03231999,kpsc,19,17,8.5,8.5
6009,03231999,kpsc,22,20,10,10
6041,03231999,sutter,21,19,9.5,9.5
6001,03241999,kpsc,16,14,7,7
6003,03241999,kpsc,20,18,9,9
6005,03241999,kpsc,19,17,8.5,8.5
6006,03241999,kpsc,20,18,9,9
6008,03241999,kpsc,23,21,10.5,10.5
6009,03241999,kpsc,16,14,7,7
6041,03241999,sutter,22,20,10,10
6001,03251999,kpsc,17,15,7.5,7.5
6003,03251999,kpsc,21,19,9.5,9.5
6005,03251999,kpsc,22,20,10,10
6006,03251999,kpsc,21,19,9.5,9.5
6008,03251999,kpsc,20,18,9,9
6009,03251999,kpsc,24,22,11,11
6041,03251999,sutter,20,18,9,9
6001,03261999,kpsc,18,16,8,8
6003,03261999,kpsc,24,22,11,11
6005,03261999,kpsc,21,19,9.5,9.5
6006,03261999,kpsc,17,15,7.5,7.5
6008,03261999,kpsc,19,17,8.5,8.5
6009,03261999,kpsc,18,16,8,8
6041,03261999,sutter,23,21,10.5,10.5
6001,03271999,kpsc,19,17,8.5,8.5
6003,03271999,kpsc,21,19,9.5,9.5
6005,03271999,kpsc,20,18,9,9
6006,03271999,kpsc,20,18,9,9
6008,03271999,kpsc,21,19,9.5,9.5
6009,03271999,kpsc,19,17,8.5,8.5
6041,03271999,sutter,19,17,8.5,8.5
6001,03281999,kpsc,20,18,9,9
6003,03281999,kpsc,18,16,8,8
6005,03281999,kpsc,15,13,6.5,6.5
6006,03281999,kpsc,18,16,8,8
6008,03281999,kpsc,23,21,10.5,10.5
6009,03281999,kpsc,22,20,10,10
6041,03281999,sutter,22,20,10,10
6001,03291999,kpsc,19,17,8.5,8.5
6003,03291999,kpsc,20,18,9,9
6005,03291999,kpsc,17,15,7.5,7.5
6006,03291999,kpsc,21,19,9.5,9.5
6008,03291999,kpsc,17,15,7.5,7.5
6009,03291999,kpsc,19,17,8.5,8.5
6041,03291999,sutter,20,18,9,9
6001,03301999,kpsc,21,19,9.5,9.5
6003,03301999,kpsc,20,18,9,9
6005,03301999,kpsc,19,17,8.5,8.5
6006,03301999,kpsc,20,18,9,9
6008,03301999,kpsc,16,14,7,7
6009,03301999,kpsc,17,15,7.5,7.5
6041,03301999,sutter,18,16,8,8
6001,03311999,kpsc,19,17,8.5,8.5
6003,03311999,kpsc,19,17,8.5,8.5
6005,03311999,kpsc,21,19,9.5,9.5
6006,03311999,kpsc,20,18,9,9
6008,03311999,kpsc,18,16,8,8
6009,03311999,kpsc,21,19,9.5,9.5
6041,03311999,sutter,21,19,9.5,9.5
6001,04011999,kpsc,18,16,8,8
6003,04011999,kpsc,20,18,9,9
6005,04011999,kpsc,23,21,10.5,10.5
6006,04011999,kpsc,18,16,8,8
6008,04011999,kpsc,21,19,9.5,9.5
6009,04011999,kpsc,18,16,8,8
6041,04011999,sutter,18,16,8,8
6001,04021999,kpsc,20,18,9,9
6003,04021999,kpsc,24,22,11,11
6005,04021999,kpsc,19,17,8.5,8.5
6006,04021999,kpsc,16,14,7,7
6008,04021999,kpsc,18,16,8,8
6009,04021999,kpsc,18,16,8,8
6041,04021999,sutter,19,17,8.5,8.5
6001,04031999,kpsc,19,17,8.5,8.5
6003,04031999,kpsc,19,17,8.5,8.5
6005,04031999,kpsc,22,20,10,10
6006,04031999,kpsc,22,20,10,10
6008,04031999,kpsc,19,17,8.5,8.5
6009,04031999,kpsc,21,19,9.5,9.5
6041,04031999,sutter,22,20,10,10
